Month,2022,2023,2024,2025
January,252837,364227,394364,422344
February,324082,403207,456772,457534
March,385521,466437,482020,511110
April,368271,411032,480969,476430
May,378781,428278,482203,492802
June,321932,367389,403829,427325
July,304592,350678,387972,418105
August,322473,359422,392286,416842
September,368008,406535,431190,
October,423458,489360,515495,
November,399181,451714,459477,
December,363934,394398,442344,
